transaction_id,customer_id,store_id,transaction_date,total_amount,is_duplicate
1,282,16,2025-01-02,0.0,False
2,759,35,2025-01-01,2265.16,False
3,96,14,2025-01-02,0.0,False
4,204,46,2025-01-06,0.0,False
5,460,38,2025-01-03,10579.61,False
6,826,11,2025-01-06,12179.57,False
7,221,49,2025-01-03,6454.69,False
8,368,23,2025-01-05,1712.71,False
9,471,35,2025-01-01,0.0,False
10,566,19,2025-01-07,14602.11,False
11,371,37,2025-01-02,9503.87,False
12,234,50,2025-01-03,0.0,False
13,888,7,2025-01-04,14781.28,False
14,374,11,2025-01-03,4314.01,False
15,719,44,2025-01-06,5458.01,False
16,547,47,2025-01-02,1256.76,False
17,948,41,2025-01-06,2618.36,False
18,864,50,2025-01-07,8442.86,False
19,825,21,2025-01-04,1027.88,False
20,966,37,2025-01-06,4162.56,False
21,406,42,2025-01-04,4857.23,False
22,763,36,2025-01-05,2314.5,False
23,920,38,2025-01-04,4088.58,False
24,142,33,2025-01-04,5557.55,False
25,113,10,2025-01-06,0.0,False
26,611,5,2025-01-04,2567.73,False
27,542,17,2025-01-05,5847.97,False
28,739,8,2025-01-06,12939.54,False
29,788,42,2025-01-03,13294.87,False
30,465,1,2025-01-06,1850.97,False
31,513,49,2025-01-02,13162.62,False
32,641,20,2025-01-07,7713.69,False
33,157,24,2025-01-07,9656.45,False
34,945,34,2025-01-01,2590.93,False
35,115,24,2025-01-07,9064.38,False
36,247,37,2025-01-01,12140.27,False
37,71,49,2025-01-05,1467.67,False
38,487,36,2025-01-02,11534.35,False
39,434,14,2025-01-05,4122.84,False
40,731,20,2025-01-04,11377.92,False
41,449,34,2025-01-04,14928.21,False
42,347,2,2025-01-05,1990.86,False
43,8,5,2025-01-06,8398.04,False
44,928,3,2025-01-07,9540.32,False
45,286,43,2025-01-04,5090.34,False
46,958,37,2025-01-05,3370.7,False
47,827,27,2025-01-02,7195.53,False
48,363,28,2025-01-04,1596.02,False
49,690,42,2025-01-06,7111.97,False
50,348,7,2025-01-02,1656.58,False
51,144,28,2025-01-02,3035.53,False
52,946,5,2025-01-04,4322.47,False
53,101,4,2025-01-06,12158.73,False
54,993,6,2025-01-07,14989.38,False
55,498,31,2025-01-02,12760.7,False
56,169,25,2025-01-01,12996.83,False
57,803,30,2025-01-03,14782.57,False
58,803,36,2025-01-06,6460.51,False
